Date,Close
2023-07-18,178.04
2023-07-17,175.39
2023-07-14,173.39
2023-07-13,174.24
2023-07-12,174.33
2023-07-11,174.64
2023-07-10,171.71
2023-07-07,169.8
2023-07-06,170.94
2023-07-05,175.57
2023-07-03,175.44
2023-06-30,174.2
2023-06-29,172.08
2023-06-28,169.78
2023-06-27,168.19
2023-06-26,167.11
2023-06-23,168.07
2023-06-22,168.26
2023-06-21,167.92
2023-06-20,169.41
2023-06-16,172.21
2023-06-15,173.81
2023-06-14,174.47
2023-06-13,175.14
2023-06-12,173.64
2023-06-09,171.72
2023-06-08,171.14
2023-06-07,171.55
2023-06-06,171.82
2023-06-05,167.43
2023-06-02,168.56
2023-06-01,162.72
2023-05-31,158.56
2023-05-30,158.01
2023-05-26,157.24
2023-05-25,151.08
2023-05-24,150.72
2023-05-23,152.56
2023-05-22,155.51
2023-05-19,152.95
2023-05-18,153.48
2023-05-17,152.09
2023-05-16,148.41
2023-05-15,150.0
2023-05-12,147.93
2023-05-11,147.99
2023-05-10,148.68
2023-05-09,153.38
2023-05-08,153.04
2023-05-05,152.65
2023-05-04,148.81
2023-05-03,152.21
2023-05-02,153.25
2023-05-01,159.32
2023-04-28,161.34
2023-04-27,158.45
2023-04-26,155.72
2023-04-25,156.12
2023-04-24,160.59
2023-04-21,163.78
2023-04-20,163.28
2023-04-19,164.95
2023-04-18,164.4
2023-04-17,163.71
2023-04-14,163.22
2023-04-13,162.3
2023-04-12,159.29
2023-04-11,161.83
2023-04-10,161.14
2023-04-06,158.83
2023-04-05,161.08
2023-04-04,162.56
2023-04-03,163.78
2023-03-31,164.95
2023-03-30,162.41
2023-03-29,163.59
2023-03-28,159.21
2023-03-27,163.12
2023-03-24,159.78
2023-03-23,162.76
2023-03-22,162.75
2023-03-21,164.56
2023-03-20,158.74
2023-03-17,156.52
2023-03-16,160.73
2023-03-15,159.81
2023-03-14,163.91
2023-03-13,157.63
2023-03-10,165.7
2023-03-09,172.12
2023-03-08,174.83
2023-03-07,175.32
2023-03-06,179.06
2023-03-03,179.09
2023-03-02,175.34
2023-03-01,175.91
2023-02-28,173.99
2023-02-27,173.3
2023-02-24,174.25
2023-02-23,175.14
2023-02-22,174.7
2023-02-21,173.48
2023-02-17,177.3
2023-02-16,177.94
2023-02-15,180.67
2023-02-14,181.02
2023-02-13,181.33
2023-02-10,179.25
2023-02-09,179.37
2023-02-08,179.0
2023-02-07,178.7
2023-02-06,176.48
2023-02-03,178.86
2023-02-02,173.13
2023-02-01,173.61
2023-01-31,174.93
2023-01-30,172.66
2023-01-27,172.31
2023-01-26,155.88
2023-01-25,156.77
2023-01-24,155.33
2023-01-23,154.0
2023-01-20,151.6
2023-01-19,146.85
2023-01-18,150.42
2023-01-17,153.75
2023-01-13,155.76
2023-01-12,154.92
2023-01-11,153.92
2023-01-10,152.0
2023-01-09,150.4
2023-01-06,150.17
2023-01-05,146.43
2023-01-04,150.54
2023-01-03,147.12
2022-12-30,147.75
2022-12-29,147.32
2022-12-28,144.01
2022-12-27,146.39
2022-12-23,147.02
2022-12-22,145.31
2022-12-21,147.1
2022-12-20,145.7
2022-12-19,145.01
2022-12-16,146.3
2022-12-15,150.22
2022-12-14,154.11
2022-12-13,157.52
2022-12-12,157.31
2022-12-09,153.9
2022-12-08,154.12
2022-12-07,154.77
2022-12-06,154.7
2022-12-05,156.08
2022-12-02,156.75
2022-12-01,157.5
2022-11-30,157.59
2022-11-29,154.42
