Date,Close
2023-07-18,34.5
2023-07-17,34.37
2023-07-14,33.15
2023-07-13,33.87
2023-07-12,33.98
2023-07-11,33.3
2023-07-10,32.74
2023-07-07,31.85
2023-07-06,31.97
2023-07-05,32.51
2023-07-03,33.62
2023-06-30,33.44
2023-06-29,32.91
2023-06-28,33.57
2023-06-27,34.1
2023-06-26,33.34
2023-06-23,33.0
2023-06-22,32.71
2023-06-21,32.9
2023-06-20,35.0
2023-06-16,36.37
2023-06-15,35.82
2023-06-14,35.58
2023-06-13,33.91
2023-06-12,33.07
2023-06-09,31.34
2023-06-08,31.82
2023-06-07,31.28
2023-06-06,30.96
2023-06-05,29.86
2023-06-02,31.31
2023-06-01,31.13
2023-05-31,31.44
2023-05-30,29.99
2023-05-26,29.0
2023-05-25,27.4
2023-05-24,29.0
2023-05-23,29.51
2023-05-22,30.28
2023-05-19,29.93
2023-05-18,29.68
2023-05-17,28.87
2023-05-16,29.22
2023-05-15,29.8
2023-05-12,28.95
2023-05-11,28.86
2023-05-10,29.97
2023-05-09,30.1
2023-05-08,30.77
2023-05-05,30.99
2023-05-04,31.24
2023-05-03,30.65
2023-05-02,29.77
2023-05-01,30.3
2023-04-28,31.06
2023-04-27,29.86
2023-04-26,29.05
2023-04-25,28.88
2023-04-24,29.66
2023-04-21,30.3
2023-04-20,30.86
2023-04-19,31.15
2023-04-18,31.83
2023-04-17,32.14
2023-04-14,31.89
2023-04-13,32.13
2023-04-12,32.02
2023-04-11,32.35
2023-04-10,32.52
2023-04-06,32.81
2023-04-05,32.83
2023-04-04,33.1
2023-04-03,32.89
2023-03-31,32.67
2023-03-30,32.09
2023-03-29,31.52
2023-03-28,29.29
2023-03-27,29.18
2023-03-24,29.36
2023-03-23,29.03
2023-03-22,28.13
2023-03-21,28.46
2023-03-20,29.16
2023-03-17,29.81
2023-03-16,30.18
2023-03-15,28.41
2023-03-14,28.01
2023-03-13,26.95
2023-03-10,27.22
2023-03-09,26.44
2023-03-08,25.98
2023-03-07,25.53
2023-03-06,25.99
2023-03-03,26.4
2023-03-02,26.2
2023-03-01,25.33
2023-02-28,24.93
2023-02-27,24.9
2023-02-24,25.14
2023-02-23,25.61
2023-02-22,25.47
2023-02-21,26.06
2023-02-17,27.61
2023-02-16,28.2
2023-02-15,28.85
2023-02-14,28.64
2023-02-13,28.55
2023-02-10,27.8
2023-02-09,27.73
2023-02-08,28.24
2023-02-07,29.05
2023-02-06,28.69
2023-02-03,30.32
2023-02-02,30.19
2023-02-01,29.07
2023-01-31,28.26
2023-01-30,27.95
2023-01-27,28.16
2023-01-26,30.09
2023-01-25,29.7
2023-01-24,29.92
2023-01-23,30.27
2023-01-20,29.22
2023-01-19,28.42
2023-01-18,28.81
2023-01-17,29.6
2023-01-13,30.11
2023-01-12,30.29
2023-01-11,29.85
2023-01-10,29.44
2023-01-09,29.31
2023-01-06,28.73
2023-01-05,27.56
2023-01-04,27.68
2023-01-03,26.73
2022-12-30,26.43
2022-12-29,26.21
2022-12-28,25.54
2022-12-27,25.94
2022-12-23,26.09
2022-12-22,25.97
2022-12-21,26.83
2022-12-20,26.44
2022-12-19,26.79
2022-12-16,26.92
2022-12-15,27.15
2022-12-14,28.26
2022-12-13,28.73
2022-12-12,28.69
2022-12-09,28.24
2022-12-08,28.44
2022-12-07,28.33
2022-12-06,28.6
2022-12-05,29.17
2022-12-02,29.41
2022-12-01,29.83
2022-11-30,30.07
2022-11-29,28.9
2022-11-28,28.725
2022-11-25,29.34
2022-11-23,29.67
2022-11-22,29.82
2022-11-21,28.94
2022-11-18,29.87
2022-11-17,29.89
2022-11-16,29.53
2022-11-15,30.71
2022-11-14,30.35
2022-11-11,30.43
2022-11-10,29.76
2022-11-09,27.52
2022-11-08,28.48
2022-11-07,28.41
2022-11-04,28.2
2022-11-03,27.025
2022-11-02,27.0546
2022-11-01,27.9229
2022-10-31,28.0511
2022-10-28,28.6826
2022-10-27,25.9199
2022-10-26,26.8474
2022-10-25,27.0447
2022-10-24,26.8178
2022-10-21,26.6106
2022-10-20,25.7325
2022-10-19,25.6535
2022-10-18,25.5253
2022-10-17,26.0679
2022-10-14,25.5647
2022-10-13,26.0679
2022-10-12,24.9925
2022-10-11,24.7063
2022-10-10,24.8642
2022-10-07,25.3773
2022-10-06,26.8178
2022-10-05,27.2717
2022-10-04,27.3309
2022-10-03,26.6106
2022-09-30,25.4266
2022-09-29,26.0285
2022-09-28,26.7685
2022-09-27,26.5317
2022-09-26,26.6106
2022-09-23,27.1533
2022-09-22,27.6959
2022-09-21,28.0906
2022-09-20,28.5741
2022-09-19,29.0477
2022-09-16,28.8503
2022-09-15,28.4557
2022-09-14,28.7911
2022-09-13,28.8997
2022-09-12,31.1394
2022-09-09,31.0408
2022-09-08,30.3402
2022-09-07,30.2416
2022-09-06,29.9554
2022-09-02,30.804
2022-09-01,31.3368
2022-08-31,31.4946
2022-08-30,31.8301
2022-08-29,32.501
2022-08-26,32.9154
2022-08-25,34.4251
2022-08-24,33.4088
2022-08-23,33.4976
2022-08-22,33.389
2022-08-19,34.9085
2022-08-18,35.7176
2022-08-17,35.3032
2022-08-16,35.7077
2022-08-15,35.8557
2022-08-12,35.6288
2022-08-11,35.1157
2022-08-10,34.8987
2022-08-09,34.06
2022-08-08,34.9085
2022-08-05,34.9184
2022-08-04,35.1848
2022-08-03,35.6732
2022-08-02,35.175
2022-08-01,36.103
2022-07-29,35.4681
2022-07-28,38.7892
2022-07-27,39.2483
2022-07-26,38.0566
2022-07-25,38.252
2022-07-22,38.291
2022-07-21,39.6683
2022-07-20,39.6195
2022-07-19,39.2874
2022-07-18,37.8124
2022-07-15,37.7245
2022-07-14,36.8356
2022-07-13,36.3472
2022-07-12,36.3472
2022-07-11,36.3374
2022-07-08,37.1091
2022-07-07,37.2556
2022-07-06,36.1323
2022-07-05,35.8393
2022-07-01,35.4974
2022-06-30,36.5426
2022-06-29,36.4253
2022-06-28,36.904
2022-06-27,37.7343
2022-06-24,37.7147
2022-06-23,36.5426
