Date,Close
2023-07-18,62.29
2023-07-17,60.34
2023-07-14,60.03
2023-07-13,59.43
2023-07-12,59.33
2023-07-11,58.81
2023-07-10,57.29
2023-07-07,56.27
2023-07-06,57.19
2023-07-05,59.11
2023-07-03,59.73
2023-06-30,59.67
2023-06-29,58.33
2023-06-28,57.15
2023-06-27,57.39
2023-06-26,56.42
2023-06-23,56.45
2023-06-22,57.59
2023-06-21,57.7
2023-06-20,58.48
2023-06-16,59.78
2023-06-15,60.37
2023-06-14,58.16
2023-06-13,59.32
2023-06-12,58.61
2023-06-09,57.69
2023-06-08,57.42
2023-06-07,56.71
2023-06-06,56.22
2023-06-05,56.19
2023-06-02,57.18
2023-06-01,53.74
2023-05-31,53.13
2023-05-30,53.59
2023-05-26,53.79
2023-05-25,52.29
2023-05-24,52.54
2023-05-23,53.81
2023-05-22,54.97
2023-05-19,55.63
2023-05-18,56.22
2023-05-17,55.56
2023-05-16,53.51
2023-05-15,55.23
2023-05-12,54.95
2023-05-11,55.0
2023-05-10,56.15
2023-05-09,56.34
2023-05-08,56.57
2023-05-05,56.86
2023-05-04,54.24
2023-05-03,55.69
2023-05-02,57.08
2023-05-01,58.97
2023-04-28,59.26
2023-04-27,57.87
2023-04-26,55.33
2023-04-25,56.57
2023-04-24,58.35
2023-04-21,58.01
2023-04-20,57.88
2023-04-19,58.41
2023-04-18,58.84
2023-04-17,58.95
2023-04-14,58.43
2023-04-13,59.22
2023-04-12,57.38
2023-04-11,57.54
2023-04-10,57.04
2023-04-06,56.53
2023-04-05,56.53
2023-04-04,56.16
2023-04-03,57.14
2023-03-31,55.55
2023-03-30,53.56
2023-03-29,52.91
2023-03-28,51.38
2023-03-27,51.64
2023-03-24,50.7
2023-03-23,50.0
2023-03-22,49.76
2023-03-21,52.62
2023-03-20,51.07
2023-03-17,49.3
2023-03-16,51.2
2023-03-15,49.49
2023-03-14,50.8
2023-03-13,49.3
2023-03-10,49.7
2023-03-09,51.31
2023-03-08,54.03
2023-03-07,54.28
2023-03-06,57.21
2023-03-03,56.98
2023-03-02,55.1
2023-03-01,53.48
2023-02-28,53.28
2023-02-27,54.5
2023-02-24,54.11
2023-02-23,55.88
2023-02-22,55.41
2023-02-21,55.83
2023-02-17,59.48
2023-02-16,58.8
2023-02-15,61.1
2023-02-14,60.82
2023-02-13,61.65
2023-02-10,59.66
2023-02-09,58.85
2023-02-08,60.13
2023-02-07,61.24
2023-02-06,59.79
2023-02-03,59.96
2023-02-02,60.74
2023-02-01,61.07
2023-01-31,61.0
2023-01-30,59.05
2023-01-27,60.44
2023-01-26,60.32
2023-01-25,59.31
2023-01-24,59.19
2023-01-23,58.72
2023-01-20,57.42
2023-01-19,55.85
2023-01-18,57.05
2023-01-17,60.4
2023-01-13,62.51
2023-01-12,61.97
2023-01-11,60.82
2023-01-10,59.52
2023-01-09,58.54
2023-01-06,59.06
2023-01-05,55.54
2023-01-04,57.33
2023-01-03,56.63
2022-12-30,56.7
2022-12-29,57.1
2022-12-28,55.41
2022-12-27,57.39
2022-12-23,57.22
2022-12-22,56.36
2022-12-21,58.36
2022-12-20,55.7
2022-12-19,55.25
2022-12-16,56.04
2022-12-15,57.66
2022-12-14,61.81
2022-12-13,62.66
2022-12-12,62.02
2022-12-09,59.29
2022-12-08,60.93
2022-12-07,59.93
2022-12-06,59.96
2022-12-05,61.92
2022-12-02,64.61
2022-12-01,64.41
2022-11-30,65.41
2022-11-29,61.3
2022-11-28,61.33
2022-11-25,64.12
2022-11-23,63.36
2022-11-22,62.81
2022-11-21,60.73
2022-11-18,60.96
2022-11-17,59.93
2022-11-16,59.96
2022-11-15,60.02
2022-11-14,59.83
2022-11-11,60.88
2022-11-10,60.64
2022-11-09,54.67
2022-11-08,58.02
2022-11-07,56.37
2022-11-04,54.23
2022-11-03,52.16
2022-11-02,52.96
2022-11-01,55.56
2022-10-31,56.05
2022-10-28,56.64
2022-10-27,52.73
2022-10-26,51.76
2022-10-25,51.76
2022-10-24,50.15
2022-10-21,48.17
2022-10-20,44.81
2022-10-19,45.26
2022-10-18,45.81
2022-10-17,44.26
2022-10-14,42.08
2022-10-13,43.72
2022-10-12,40.28
2022-10-11,40.35
2022-10-10,40.27
2022-10-07,40.66
2022-10-06,43.4
2022-10-05,44.98
2022-10-04,45.16
2022-10-03,41.64
2022-09-30,38.61
2022-09-29,40.69
2022-09-28,42.68
2022-09-27,40.47
2022-09-26,41.05
2022-09-23,42.44
2022-09-22,44.53
2022-09-21,45.07
2022-09-20,47.52
2022-09-19,49.01
2022-09-16,47.99
2022-09-15,48.77
2022-09-14,49.61
2022-09-13,49.46
2022-09-12,56.07
2022-09-09,54.97
2022-09-08,52.98
2022-09-07,52.02
2022-09-06,50.06
2022-09-02,50.8
2022-09-01,52.48
2022-08-31,51.82
2022-08-30,53.07
2022-08-29,54.61
2022-08-26,55.57
2022-08-25,61.17
2022-08-24,59.44
2022-08-23,59.1
2022-08-22,60.0
2022-08-19,63.55
2022-08-18,65.23
2022-08-17,65.02
2022-08-16,65.95
2022-08-15,64.59
2022-08-12,63.73
2022-08-11,61.46
2022-08-10,61.19
2022-08-09,58.42
2022-08-08,58.68
2022-08-05,58.44
2022-08-04,58.13
2022-08-03,58.6
2022-08-02,56.47
2022-08-01,58.62
2022-07-29,58.9
2022-07-28,57.16
2022-07-27,55.51
2022-07-26,53.27
2022-07-25,54.5
2022-07-22,54.06
2022-07-21,54.75
2022-07-20,53.92
2022-07-19,53.62
2022-07-18,50.02
2022-07-15,51.04
2022-07-14,48.02
2022-07-13,48.7
2022-07-12,49.76
2022-07-11,50.67
2022-07-08,51.49
2022-07-07,51.72
2022-07-06,50.03
2022-07-05,49.7
2022-07-01,50.27
2022-06-30,48.9
2022-06-29,49.97
2022-06-28,49.65
2022-06-27,52.16
2022-06-24,52.5
2022-06-23,48.5
2022-06-22,47.55
2022-06-21,47.86
2022-06-17,44.9452
2022-06-16,45.174
2022-06-15,48.6558
2022-06-14,47.283
2022-06-13,47.9595
2022-06-10,52.3167
2022-06-09,56.9426
2022-06-08,60.3945
2022-06-07,61.9564
2022-06-06,60.504
2022-06-03,60.4343
2022-06-02,62.3344
2022-06-01,59.9767
2022-05-31,60.9914
2022-05-27,62.0459
2022-05-26,58.9919
2022-05-25,56.2959
2022-05-24,55.331
2022-05-23,55.0126
2022-05-20,51.889
2022-05-19,51.8591
2022-05-18,53.1424
2022-05-17,59.3002
2022-05-16,57.052
2022-05-13,56.8033
2022-05-12,54.4555
2022-05-11,54.9231
2022-05-10,56.6839
2022-05-09,57.1415
2022-05-06,60.7328
2022-05-05,61.3595
2022-05-04,67.587
2022-05-03,62.2847
2022-05-02,61.9464
2022-04-29,61.3893
2022-04-28,67.0896
2022-04-27,63.5083
2022-04-26,63.1004
2022-04-25,68.0744
2022-04-22,66.6817
2022-04-21,72.7002
2022-04-20,75.0977
2022-04-19,73.5757
2022-04-18,70.4818
2022-04-14,70.7106
2022-04-13,71.4667
2022-04-12,69.3279
2022-04-11,69.875
2022-04-08,72.5411
2022-04-07,71.6656
2022-04-06,70.9991
2022-04-05,71.9641
2022-04-04,73.705
2022-04-01,73.0285
2022-03-31,72.2824
2022-03-30,75.7046
2022-03-29,76.2417
2022-03-28,74.0532
2022-03-25,73.3867
2022-03-24,72.4714
2022-03-23,70.3028
2022-03-22,73.2971
2022-03-21,71.5871
2022-03-18,72.8196
2022-03-17,71.1692
2022-03-16,68.7141
2022-03-15,65.6113
2022-03-14,62.2508
2022-03-11,62.1613
2022-03-10,63.4635
2022-03-09,64.0803
2022-03-08,60.3319
2022-03-07,61.3953
2022-03-04,66.0689
2022-03-03,67.1423
2022-03-02,67.7193
2022-03-01,64.4086
2022-02-28,67.9083
2022-02-25,68.7927
2022-02-24,63.9808
2022-02-23,63.5232
2022-02-22,66.1684
2022-02-18,69.1906
2022-02-17,70.5037
2022-02-16,74.4402
2022-02-15,74.7088
2022-02-14,72.0646
2022-02-11,72.9887
2022-02-10,76.3392
2022-02-09,79.839
2022-02-08,77.8115
2022-02-07,75.435
2022-02-04,75.425
2022-02-03,75.5046
2022-02-02,78.9247
2022-02-01,77.4932
2022-01-31,75.624
2022-01-28,73.1877
2022-01-27,69.678
2022-01-26,69.7576
2022-01-25,70.7514
2022-01-24,71.1195
2022-01-21,70.265
2022-01-20,73.2772
2022-01-19,75.2658
2022-01-18,77.533
2022-01-14,81.1521
2022-01-13,82.5339
2022-01-12,83.846
2022-01-11,83.5078
2022-01-10,82.3051
2022-01-07,83.4083
2022-01-06,83.4282
2022-01-05,84.5822
2022-01-04,87.3358
2022-01-03,85.8247
2021-12-31,84.1246
2021-12-30,84.5822
2021-12-29,85.2179
2021-12-28,84.612
2021-12-27,83.9057
2021-12-23,81.5102
2021-12-22,80.207
2021-12-21,78.4791
2021-12-20,74.9147
2021-12-17,77.7747
2021-12-16,81.3192
2021-12-15,81.5769
2021-12-14,79.1446
2021-12-13,79.7803
2021-12-10,81.8952
2021-12-09,80.4756
2021-12-08,80.4259
2021-12-07,80.217
2021-12-06,77.0296
2021-12-03,72.8694
2021-12-02,73.316
2021-12-01,69.3746
2021-11-30,72.1252
2021-11-29,76.3442
2021-11-26,74.9445
2021-11-24,80.9919
2021-11-23,81.0317
2021-11-22,79.7803
2021-11-19,79.6022
2021-11-18,81.4784
2021-11-17,81.7957
2021-11-16,83.2163
2021-11-15,82.7597
2021-11-12,82.7985
2021-11-11,81.5868
2021-11-10,82.6901
2021-11-09,84.2181
2021-11-08,84.993
2021-11-05,84.2678
2021-11-04,82.898
2021-11-03,83.087
2021-11-02,82.3618
2021-11-01,81.4187
2021-10-29,80.783
